event,home,away,home_score,away_score
19,Everton,Nottingham Forest,0,2
19,Fulham,Bournemouth,2,2
19,Spurs,Wolves,2,2
19,West Ham,Liverpool,0,5
19,Aston Villa,Brighton,2,2
19,Ipswich,Chelsea,2,0
19,Man Utd,Newcastle,0,2
19,Brentford,Arsenal,1,3
20,Spurs,Newcastle,1,2
20,Aston Villa,Leicester,2,1
20,Bournemouth,Everton,1,0
20,Crystal Palace,Chelsea,1,1
20,Man City,West Ham,4,1
20,Southampton,Brentford,0,5
20,Brighton,Arsenal,1,1
20,Fulham,Ipswich,2,2
20,Liverpool,Man Utd,2,2
20,Wolves,Nottingham Forest,0,3
